"#","Reference","Qty","Price","Value","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Alternative Mouser Part Number","Length","Purchase-URL","DNP","Exclude from BOM","Exclude from Board","Package","Description","Footprint","Datasheet"
"14","J5","1","0,55 €","USB-C","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4135-GF-A","640-USB4135-GF-A","","","https://mou.sr/3J7hTfS","","","","USB-C RA SMD Power-Only","GCT USB Type-C Receptacle, Power-Only, Right Angle SMD, USB4135-GF-A","vga_sync_combiner_footprints:USB4135GFA","https://www.mouser.com/catalog/specsheets/GCT_USb4135_Product_Drawing.pdf?_gl=1*wefdt*_gcl_aw*R0NMLjE3NzgzNTU2ODAuQ2p3S0NBand0dnZQQmhCdUVpd0FQTWlqcjRzVWJjTzVNbXlid2ttd2NLRi1VTEQ1SGJOamFKbXVYclZYcTBYY3lLNGM1S0h3dTJ6WlVSb0NpeVlRQXZEX0J3RQ..*_gcl_au*MTA4NzcxMzEzMS4xNzc3MzIzNDkzLjgxNDEyNzI3Mi4xNzc4MzU5MzA3LjE3NzgzNjEwMjM.*_ga*NTc5MjQ2MTYuMTc3NzMyMzQ5Mw..*_ga_15W4STQT4T*czE3NzgzNTQ2OTkkbzEyJGcxJHQxNzc4MzYxMDI1JGo0NSRsMCRoMA.."
"15","J6","1","1,11 €","JST ZR 1x2 Cable","JST","A02ZR02ZR28H254A","306-A02ZR02ZR28H254A","","","https://mou.sr/4q7f7be","","","Excluded from board","JST ZR 1x2 Cable","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","https://www.mouser.de/datasheet/3/1070/1/GAM-299.pdf"
"16","J7","1","0,27 €","RGBS_OUT_HOUSING (Cable)","TE Connectivity","1445022-5","571-14450225","","","https://mou.sr/42nZGRI","","","Excluded from board","Micro-MATE-N-LOK 5P Receptacle Housing","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1445022&DocType=Customer+Drawing&DocLang=English&PartCntxt=1445022-5&DocFormat=pdf"
"17","J8","1","1,98 €","REAN NYS231BG","REAN","NYS231BG","568-NYS231BG","","","https://mou.sr/4g7GmQd","","","Excluded from board","3.5mm TRS Plug","Audio Jack, 3 Poles (Stereo / TRS)","",""
"18","J9","1","2,00 €","AUDI_RNS-E_32_Pin_AMP_Connector","Audi","1J0972977","","","","https://kufatec.com/de/audi-rns-e-video-stecker-32-polig/37900","","","Excluded from board","Audi RNS-E 32-pin connector housing","Generic connector, double row, 02x16, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"19","JMP1","1","0,27 €","POWER_SOURCE_JUMPER","Wurth Elektronik","60900213421","710-60900213421","","","https://mou.sr/3QI8haK","","","Excluded from board","2.54mm Jumper/Shunt","Jumper, 2-pole, closed/bridged","","https://www.we-online.com/components/products/datasheet/60900213421.pdf"
"20","R1,R2","2","0,17 €","2k2","Panasonic","ERJ-P08F2201V","667-ERJ-P08F2201V","","","https://mou.sr/3QTzMT6","","","","1206","2.2kΩ 1% resistor, 1206. RC delay resistor for HSync/VSync XOR sync combiner.","vga_sync_combiner_footprints:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf"
"21","R3","1","0,17 €","2k2","Panasonic","ERJ-P08F2201V","667-ERJ-P08F2201V","","","https://mou.sr/3QTzMT6","","","","1206","2.2kΩ 1% resistor, 1206. Power LED series resistor.","vga_sync_combiner_footprints:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf"
"22","R4,R5","2","0,17 €","5k1","Panasonic","ERJ-P08F5101V","667-ERJ-P08F5101V","","","https://mou.sr/4n2RMou","","","","1206","5.1kΩ 1% resistor, 1206. USB-C CC pull-down resistor for 5V sink detection.","vga_sync_combiner_footprints:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf"
"23","R6","1","0,17 €","200R","Panasonic","ERJ-P08F2000V","667-ERJ-P08F2000V","","","https://mou.sr/4cXvcM7","","","","1206","200Ω 1% resistor, 1206. C-Sync output series resistor.","vga_sync_combiner_footprints:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf"
